category,product_url,title,publisher,authors,description,image_urls,image_paths,classified
AYT Konu Anlatım,https://www.kitapsec.com/Products/0-in-da-0-i-90-Derste-AYT-Matematik-Kampi-Video-Ders-Kitabi-Pelikan-Yayinlari-913818.html,0 ın da 0 ı 90 Derste AYT Matematik Kampı Video Ders Kitabı Pelikan Yayınları,Pelikan Yayınları,Matematiği Fısıldayan Adam,"0 ın da 0 ı 28 Derste Problemler Kampı, Video Ders Kitabı, Pelikan Yayınları, 9786255516053, Matematiği Fısıldayan Adam",https://cdn.kitapsec.com/image/urun/2025/02/11/1739270755.jpg,dtyResimler\0-in-da-0-i-90-Derste-AYT-Matematik-Kampi-Video-Ders-Kitabi-Pelikan-Yayinlari-913818.html_1.jpg,Matematik
AYT Konu Anlatım,https://www.kitapsec.com/Products/2023-AYT-Cografya-PDF-Planli-Ders-Foyu-Egitim-Vadisi-Yayinlari-KELEPIR-912892.html,2023 AYT Coğrafya PDF Planlı Ders Föyü Eğitim Vadisi Yayınları KELEPİR,,Uzun Yaşam Paradoksu İleri Yaşta Genç Kalmanın Sırları Nova Kitap,"Uzun Yaşam Paradoksu İleri Yaşta Genç Kalmanın Sırları, Nova Kitap, Steven R. Gundry, 9786259720586",https://cdn.kitapsec.com/image/urun/2025/01/25/hfghfghfgh1737796077.jpg,dtyResimler\2023-AYT-Cografya-PDF-Planli-Ders-Foyu-Egitim-Vadisi-Yayinlari-KELEPIR-912892.html_1.jpg,Coğrafya
AYT Konu Anlatım,https://www.kitapsec.com/Products/2024-AYT-Edebiyat-Turkcenin-Matematigi-Full-Tekrar-Video-Ders-Kitabi-F10-Yayinlari-877490.html,2024 AYT Edebiyat Türkçenin Matematiği Full Tekrar Video Ders Kitabı F10 Yayınları,F10 Yayınları,Gamze Özdin,"YKS, TYT Dil Bilgisi, Türkçenin Matematiği, 10 Günde Temel Atma Garanti, Video Ders Kitabı, Gamze Özdin, Paraf Akademi Yayınları, 9786259600116",https://cdn.kitapsec.com/image/urun/2024/05/04/1714805285.jpg,dtyResimler\2024-AYT-Edebiyat-Turkcenin-Matematigi-Full-Tekrar-Video-Ders-Kitabi-F10-Yayinlari-877490.html_1.jpg,Edebiyat
AYT Konu Anlatım,https://www.kitapsec.com/Products/2024-NDeep-Serisi-AYT-Matematik-Video-Ders-Notlari-Yargi-Yayinlari-858681.html,2024 NDeep Serisi AYT Matematik Video Ders Notları Yargı Yayınları,Yargı Yayınları,Oktay Şanlı,"2025, AYT Matematik, 41 Günde, Video Destekli, Kamp Kitabı, Yargı Yayınları, Oktay Şanlı, 9786253704070",https://cdn.kitapsec.com/image/urun/2023/12/07/1701945581.jpg,dtyResimler\2024-NDeep-Serisi-AYT-Matematik-Video-Ders-Notlari-Yargi-Yayinlari-858681.html_1.jpg,Matematik
AYT Konu Anlatım,https://www.kitapsec.com/Products/2024-YKS-AYT-Matematigin-Kara-Kutusu-Konu-Ozetli-Dijital-Cozumlu-OSYM-Cikmis-Soru-Havuzu-Bankasi-Informal-Yayinlari-861586.html,2024 YKS-AYT Matematiğin Kara Kutusu Konu Özetli Dijital Çözümlü ÖSYM Çıkmış Soru Havuzu Bankası İnformal Yayınları,İnformal Yayınları,İnformal Komisyon,"2025, MEB AGS, TÜRKÇE, Manifesto, Branş Deneme PAKETİ, (30x15), 30lu Fasikül Seti, Özgün Dijital Çözümlü, İnformal Yayınları, 9785671597295",https://cdn.kitapsec.com/image/urun/2023/12/27/1703679362.jpg,dtyResimler\2024-YKS-AYT-Matematigin-Kara-Kutusu-Konu-Ozetli-Dijital-Cozumlu-OSYM-Cikmis-Soru-Havuzu-Bankasi-Informal-Yayinlari-861586.html_1.jpg,Matematik
AYT Konu Anlatım,https://www.kitapsec.com/Products/2025-14-Gunde-AYT-Kimya-Genel-Tekrar-Kampi-Video-Ders-Takip-Kitabi-Sinan-Ihtiyaroglu-Parlayan-Projeler-876260.html,2025 14 Günde AYT Kimya Genel Tekrar Kampı Video Ders Takip Kitabı Sinan İhtiyaroğlu Parlayan Projeler,Parlayan Projeler,Sinan İhtiyaroğlu,"AYT, 24lü Kimya Deneme, Hız Yayınları, 9786256071575, Sinan İhtiyaroğlu",https://cdn.kitapsec.com/image/urun/2024/07/08/1720436780.jpg,dtyResimler\2025-14-Gunde-AYT-Kimya-Genel-Tekrar-Kampi-Video-Ders-Takip-Kitabi-Sinan-Ihtiyaroglu-Parlayan-Projeler-876260.html_1.jpg,Kimya
AYT Konu Anlatım,https://www.kitapsec.com/Products/2025-90-Gunde-AYT-Matematik-Kampi-Video-Ders-Kitabi-Mert-Hoca-900926.html,2025 90 Günde AYT Matematik Kampı Video Ders Kitabı Mert Hoca,Mert Hoca Yayınları,Mert Hoca,"AYT, TİLT Denemeleri, Trigonometri, İntegral, Limit, Türev, 30lu Deneme, Mert Hoca, 9786259953144, Mert Güven",https://cdn.kitapsec.com/image/urun/2024/10/15/1728985100.jpg,dtyResimler\2025-90-Gunde-AYT-Matematik-Kampi-Video-Ders-Kitabi-Mert-Hoca-900926.html_1.jpg,Matematik
AYT Konu Anlatım,https://www.kitapsec.com/Products/2025-AYT-Biyoloji-Ders-Notlari-Benim-Hocam-Yayinlari-890796.html,2025 AYT Biyoloji Ders Notları Benim Hocam Yayınları,Benim Hocam Yayınları,Zeliha Yücel,"2026, TYT Biyoloji, Ders Notları ve Video Çözümlü, Soru Bankası Seti, Benim Hocam Yayınları, 5524, 9786255847607, 9786255847461, Zeliha Yücel",https://cdn.kitapsec.com/image/urun/2024/08/17/1723875206.jpg,dtyResimler\2025-AYT-Biyoloji-Ders-Notlari-Benim-Hocam-Yayinlari-890796.html_1.jpg,Biyoloji
AYT Konu Anlatım,https://www.kitapsec.com/Products/2025-AYT-Felsefe-Grubu-Ders-Notlari-Benim-Hocam-Yayinlari-833165.html,2025 AYT Felsefe Grubu Ders Notları Benim Hocam Yayınları,Benim Hocam Yayınları,Can Köni,"2025, ÖABT, MEB-AGS, Sınıf Öğretmenliği, 10+10 Deneme, 2 li Set, İndeks Akademi Yayınları, 5996, 9786255505453, 9786254319242, Can Köni, Ali Birol",https://cdn.kitapsec.com/image/urun/2024/07/18/1721285142.jpg,dtyResimler\2025-AYT-Felsefe-Grubu-Ders-Notlari-Benim-Hocam-Yayinlari-833165.html_1.jpg,Felsefe
AYT Konu Anlatım,https://www.kitapsec.com/Products/2025-AYT-Kimya-Ders-Notlari-Benim-Hocam-Yayinlari-758551.html,2025 AYT Kimya Ders Notları Benim Hocam Yayınları,Benim Hocam Yayınları,Görkem Şahin,"2026, AYT Kimya, Ders Notları, Benim Hocam Yayınları, 9786255847584, Görkem ŞAHİN",https://cdn.kitapsec.com/image/urun/2023/08/03/1691053165.jpg,dtyResimler\2025-AYT-Kimya-Ders-Notlari-Benim-Hocam-Yayinlari-758551.html_1.jpg,Kimya
